# Supplementary material of "Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution"
# Species	Common name	Sequencing technique	Kingdom	Phylum	Centromere type	Repeat length (nt)	GC content (%)	Repeat Fraction	Rep Fraction (%)	Genomic Fraction	Genomic Fraction (%)	Genomic Fraction (log2 of %)	Genomic Fraction group (Figure S5A)	Karyotype (2n)	Genome Size (Gb)	Average Size Repeat Array (kb)	Higher Order Repeat structure	NCBI Trace Archive	DDBJ DRA
Acropora digitifera	Coral	Illumina	Animalia	Cnidaria	Monocentric	176	35	nd	nd	0.011082	1.1082	0.1482182722	4	28	0.42	332.46	nd	nd	DRX009740
Acropora millepora	Coral	Sanger	Animalia	Cnidaria	Monocentric	118	38	0.11628	11.628	0.000674	0.0674	-3.891107598	2	28	1.12	53.92	not found	fasta.acropora_millepora.001.gz	nd
Acropora palmata	Elkhorn coral	Sanger	Animalia	Cnidaria	Monocentric	118	39	0.52258	52.258	0.007545	0.7545	-0.4064071941	4	28	1.12	603.6	not found	fasta.acropora_palmata.001.gz	nd
Acyrthosiphon pisum	Pea aphid	Sanger, Illumina	Animalia	Arthropoda	Holocentric	175	36	0.2063	20.63	0.00248	0.248	-2.011587974	3	8	0.31	192.2	found	fasta.acyrthosiphon_pisum.001.gz; fasta.acyrthosiphon_pisum.003.gz; fasta.acyrthosiphon_pisum.007.gz; fasta.acyrthosiphon_pisum.010.gz; fasta.acyrthosiphon_pisum.012.gz	SRX017696
Aedes aegypti	Mosquito	Sanger	Animalia	Arthropoda	Monocentric	181	38	0.08539	8.539	0.001264	0.1264	-2.983931631	3	6	0.81	341.28	found	fasta.aedes_aegypti.007.gz; fasta.aedes_aegypti.008.gz; fasta.aedes_aegypti.021.gz; fasta.aedes_aegypti.023.gz; fasta.aedes_aegypti.030.gz	nd
Aegilops tauschii	Wheat	Illumina	Plantae	Monocot	Monocentric	340	35	nd	nd	0.015348	1.5348	0.6180506701	4	14	4.02	8814.137143	nd	nd	SRX037891
Ailuropoda melanoleuca	Giant panda	Illumina	Animalia	Chordata	Monocentric	556	51	nd	nd	0.013477	1.3477	0.4304993862	4	42	3	1925.285714	nd	nd	SRX007001
Anas platyrhynchos	Mallard	Illumina	Animalia	Chordata	Monocentric	189	56	nd	nd	0.030396	3.0396	1.603881483	5	80	1.44	1094.256	nd	nd	SRX019351
Ancylostoma caninum	Dog hookworm	Sanger	Animalia	Nematoda	Holocentric	117	39	0.11561	11.561	0.00146	0.146	-2.775959726	2	12	0.35	85.16666667	not found	fasta.ancylostoma_caninum.001.gz	nd
Anolis carolinensis	Carolina anole	Sanger	Animalia	Chordata	Monocentric	87	40	0.24472	24.472	0.005159	0.5159	-0.9548366484	4	36	3.06	877.03	not found	fasta.anolis_carolinensis.026.gz; fasta.anolis_carolinensis.031.gz; fasta.anolis_carolinensis.033.gz; fasta.anolis_carolinensis.034.gz; fasta.anolis_carolinensis.040.gz	nd
Anopheles gambiae	Mosquito	Sanger, Illumina	Animalia	Arthropoda	Monocentric	93	36	0.54895	54.895	0.014585	1.4585	0.5444853862	4	6	0.27	1312.65	found	fasta.anopheles_gambiae.001.gz; fasta.anopheles_gambiae.002.gz; fasta.anopheles_gambiae.004.gz; fasta.anopheles_gambiae.011.gz; fasta.anopheles_gambiae.013.gz	ERX008245
Anopheles gambiae M	Mosquito	Sanger	Animalia	Arthropoda	Monocentric	93	38	0.53749	53.749	0.012767	1.2767	0.3524195592	4	6	0.27	1149.03	not found	fasta.anopheles_gambiae_m.001.gz; fasta.anopheles_gambiae_m.002.gz; fasta.anopheles_gambiae_m.003.gz; fasta.anopheles_gambiae_m.005.gz; fasta.anopheles_gambiae_m.006.gz	nd
Anopheles gambiae S	Mosquito	Sanger	Animalia	Arthropoda	Monocentric	93	36	0.28502	28.502	0.013541	1.3541	0.4373342856	4	6	0.27	1218.69	not found	fasta.anopheles_gambiae_s.001.gz; fasta.anopheles_gambiae_s.002.gz; fasta.anopheles_gambiae_s.004.gz; fasta.anopheles_gambiae_s.005.gz; fasta.anopheles_gambiae_s.006.gz	nd
Anopheles merus	Mosquito	Illumina	Animalia	Arthropoda	Monocentric	363	40	nd	nd	0.01264	1.264	0.3379964635	4	6	0.24	1011.2	nd	nd	SRX111314
Apis mellifera	Western honey bee	Sanger	Animalia	Arthropoda	Monocentric	176	40	0.42116	42.116	0.017008	1.7008	0.766213502	4	32	0.19	201.97	not found	fasta.apis_mellifera.002.gz; fasta.apis_mellifera.004.gz; fasta.apis_mellifera.005.gz; fasta.apis_mellifera.006.gz; fasta.apis_mellifera.007.gz	nd
Aplysia californica	California sea slug	Sanger	Animalia	Mollusca	Monocentric	168	38	0.04977	4.977	0.00034	0.034	-4.878321443	2	nd	1.9	nd	found	fasta.aplysia_californica.003.gz; fasta.aplysia_californica.017.gz; fasta.aplysia_californica.021.gz; fasta.aplysia_californica.023.gz; fasta.aplysia_californica.027.gz	nd
Aquilegia coerulea	Rocky Mountain columbine	Sanger	Plantae	Eudicot	Monocentric	329	44	0.76887	76.887	0.028909	2.8909	1.531518705	5	14	0.7	2890.9	not found	fasta.aquilegia_coerulea.002.gz; fasta.aquilegia_coerulea.003.gz; fasta.aquilegia_coerulea.005.gz; fasta.aquilegia_coerulea.006.gz; fasta.aquilegia_coerulea.007.gz; fasta.aquilegia_coerulea.009.gz	nd
